codigo_ibge;uf;nome_municipio;codigo_servico;incidencia;aliquota;dt_ini;dt_fim
2800308;SE;Aracaju;01.01.01.000;01.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.02.01.000;01.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.03.01.000;01.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.03.02.000;01.03.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.04.01.000;01.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.05.01.000;01.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.06.01.000;01.06.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.07.01.000;01.07.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.08.01.000;01.08.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.09.01.000;01.09.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;01.09.02.000;01.09.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;02.01.01.000;02.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.02.01.000;03.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.03.01.000;03.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.03.02.000;03.03.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.03.03.000;03.03.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.03.04.000;03.03.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.03.05.000;03.03.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.04.01.000;03.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.04.02.000;03.04.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.04.03.000;03.04.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;03.05.01.000;03.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.01.01.000;04.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.01.02.000;04.01.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.02.01.000;04.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.02.02.000;04.02.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.02.03.000;04.02.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.02.04.000;04.02.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.02.05.000;04.02.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.03.01.000;04.03.01.000;2;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.03.02.000;04.03.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.03.03.000;04.03.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.04.01.000;04.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.05.01.000;04.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.06.01.000;04.06.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.07.01.000;04.07.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;04.08.01.000;04.08.01.000;5;2023-10-20T00:00:00;
