Art. 11,Tipo de operação,Considera-se local da operação,Característica do fornecimento,,,Código indOp,Local do fornecimento a ser identificado no Dfe
Inc. II,"Operação com bem imóvel, bem imaterial, inclusive direito,  relacionada a bem imóvel",o local onde o imóvel estiver situado,"Execução de operações com bem imóvel, bem imaterial, inclusive direito, relacionado a bem imóvel",0201,01,020101,Localidade do imóvel (1)
,Serviço prestado fisicamente sobre bem imóvel,o local onde o imóvel estiver situado,Execução de serviços sobre bem imóvel,0202,01,020201,Localidade do imóvel (1)
,Serviço de administração e intermediação de bem imóvel,o local onde o imóvel estiver situado,Execução dos serviços de administração e intermediação de bens imóveis,0203,01,020301,Localidade do imóvel (1)
Inc. III,Serviço prestado fisicamente sobre a pessoa ou fruído presencialmente por pessoa física,o local da prestação do serviço,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),0301,01,030101,Estabelecimento do fornecedor
,,,,,02,030102,Endereço do adquirente
,,,,,03,030103,Endereço do destinatário
,,,,,04,030104,"Endereço diverso do fornecedor, adquirente ou destinatário"
Inc. IV,"Serviço de planejamento, organização e administração de feiras, exposições, congressos, espetáculos, exibições e congêneres",o local do evento a que se refere o serviço,"Execução de serviços de planejamento, organização e administração de feiras, exposições, congressos, espetáculos, exibições e congêneres",0401,01,040101,Local do Evento
Inc. V,Serviço prestado fisicamente sobre bem móvel material,o local da prestação do serviço,Execução de serviços diversos fisicamente prestados sobre bem móvel material,0501,01,050101,Estabelecimento do fornecedor
,,,,,02,050102,Endereço do adquirente
,,,,,03,050103,Endereço do destinatário
,,,,,04,050104,"Endereço diverso do fornecedor, adquirente ou destinatário"
,Serviços portuários,o local da prestação do serviço,Execução de serviços portuários,0502,01,050201,Local da prestação
Inc. VI,Serviço de transporte de passageiros,o local da prestação do serviço,Execução de serviços de transporte de passageiros,0601,01,060101,Local de início do transporte
Inc. VII,Serviço de transporte de carga,o local da prestação do serviço,Execução de serviços de transporte de carga,0701,01,070101,Endereço fornecido para entrega
,,,,,02,070102,Local da retirada
Inc. VIII,Serviço de exploração de via,"o território de cada Município e Estado, ou do Distrito Federal, proporcionalmente à correspondente extensão da via explorada",Execução de serviços de exploração de via,0801,01,080101,"Local da prestação, correspondente à extensão da via explorada e proporcional ao território dos entes tributantes"
Inc. X,"Cessão de espaço para prestação de serviços publicitários, em operações onerosas (4)","o local do domicílio principal do: a) adquirente, nas operações onerosas; ...",Execução de operações de cessão de espaço para prestação de serviços publicitários,1005,01,100101,Local do domicílio principal do adquirente (3)
,,,,,02,100102,"Local do domicílio do destinatário, nos casos de adquirente residente ou domiciliado no exterior (5)(6)"
,"Cessão de espaço para prestação de serviços publicitários, em operações não onerosas (4)","o local do domicílio principal do: ... b) destinatário, nas operações não onerosas.",Execução de operações de cessão de espaço para prestação de serviços publicitários,1006,01,100201,Local do domicílio principal do destinatário (6)
,"Demais serviços, em operações onerosas","o local do domicílio principal do: a) adquirente, nas operações onerosas; ...","Execução dos demais serviços em operações não especificadas anteriormente ou, nos serviços de que trata o inc. III, estes sejam, ainda que parcialmente, prestados à distância (2)",1001,01,100301,Local do domicílio principal do adquirente (3)
,,,,,02,100302,"Local do domicílio do destinatário, nos casos de adquirente residente ou domiciliado no exterior (5)(6)"
,"Demais serviços, em operações não onerosas","o local do domicílio principal do: ... b) destinatário, nas operações não onerosas.","Execução dos demais serviços em operações não especificadas anteriormente ou, nos serviços de que tratam o inc. III, estes sejam, ainda que parcialmente, prestados à distância",1002,01,100401,Local do domicílio principal do destinatário (6)
,"Demais bens móveis imateriais, inclusive direitos, em operações onerosas","o local do domicílio principal do: a) adquirente, nas operações onerosas; ...","Execução de demais operações não especificadas anteriormente com bens móveis imateriais, inclusive direitos",1003,01,100501,Local do domicílio principal do adquirente (3)
,,,,,02,100502,"Local do domicílio do destinatário, nos casos de adquirente residente ou domiciliado no exterior (5)(6)"
,"Demais bens móveis imateriais, inclusive direitos, em operações não onerosas","o local do domicílio principal do: ... b) destinatário, nas operações não onerosas.","Execução de demais operações não especificadas anteriormente com bens móveis imateriais, inclusive direitos",1004,01,100601,Local do domicílio principal do destinatário (6)
"(1) caso o bem imóvel esteja situado em mais de um Município, considera-se local do imóvel o Município onde está situada a maior parte da sua área (Art. 11, §2º)",,,,,,,
"(2) Aos serviços do inc. III, se parcialmente prestados à distância, aplica-se o disposto no inciso X (art. 11, §4º)",,,,,,,
"(3) nas aquisições realizadas de forma centralizada por contribuinte sujeito ao regime regular do IBS e da CBS que possui mais de um estabelecimento e que não estejam sujeitas a vedação à apropriação de créditos, os serviços do inc. IX do art. 11 serão considerados prestados no domicílio principal do adquirente; para o inc. X do art. 11 e o inc. I do §4º do art. 11, considera-se como domicílio principal do adquirente o local de seu estabelecimento matriz (art. 11, §4º, II)",,,,,,,
"(4) Aplica-se o disposto no inciso X do artigo 11 às operações de cessão de espaço para prestação de serviços publicitários (art. 11, §11)",,,,,,,
"(5) Na hipótese do inc. X do caput do art. 11, caso o adquirente seja residente ou domiciliado no exterior e o destinatário seja residente ou domiciliado no País, considera-se como local da operação o domicílio do destinatário (art. 11, §8)",,,,,,,
(6) Domicílio do destinatário: vide §3º do art. 11 a respeito da caracterização do domicílio,,,,,,,
