CÓDIGO DE TRIBUTAÇÃO NACIONAL,ITEM,SUBITEM,DESDOBRO NACIONAL,DESCRIÇÃO
,1,0,0,Serviços de Informática e congêneres.
,1,1,0,Análise e desenvolvimento de sistemas.
10101,1,1,1,Análise e desenvolvimento de sistemas.
,1,2,0,Programação.
10201,1,2,1,Programação.
,1,3,0,"Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres."
10301,1,3,1,"Processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres."
10302,1,3,2,"Armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres."
,1,4,0,"Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres."
10401,1,4,1,"Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres."
,1,5,0,Licenciamento ou cessão de direito de uso de programas de computação.
10501,1,5,1,Licenciamento ou cessão de direito de uso de programas de computação.
,1,6,0,Assessoria e consultoria em informática.
10601,1,6,1,Assessoria e consultoria em informática.
,1,7,0,"Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados."
10701,1,7,1,"Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados."
,1,8,0,"Planejamento, confecção, manutenção e atualização de páginas eletrônicas."
10801,1,8,1,"Planejamento, confecção, manutenção e atualização de páginas eletrônicas."
,1,9,0,"Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
10901,1,9,1,"Disponibilização, sem cessão definitiva, de conteúdos de áudio por meio da internet (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
10902,1,9,2,"Disponibilização, sem cessão definitiva, de conteúdos de vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
,2,0,0,Serviços de pesquisas e desenvolvimento de qualquer natureza.
,2,1,0,Serviços de pesquisas e desenvolvimento de qualquer natureza.
20101,2,1,1,Serviços de pesquisas e desenvolvimento de qualquer natureza.
,3,0,0,"Serviços prestados mediante locação, cessão de direito de uso e congêneres."
,3,2,0,Cessão de direito de uso de marcas e de sinais de propaganda.
30201,3,2,1,Cessão de direito de uso de marcas e de sinais de propaganda.
,3,3,0,"Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza."
30301,3,3,1,"Exploração de salões de festas, centro de convenções, stands e congêneres, para realização de eventos ou negócios de qualquer natureza."
30302,3,3,2,"Exploração de escritórios virtuais e congêneres, para realização de eventos ou negócios de qualquer natureza."
30303,3,3,3,"Exploração de quadras esportivas, estádios, ginásios, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza."
30304,3,3,4,"Exploração de auditórios, casas de espetáculos e congêneres, para realização de eventos ou negócios de qualquer natureza."
30305,3,3,5,"Exploração de parques de diversões e congêneres, para realização de eventos ou negócios de qualquer natureza."
,3,4,0,"Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza."
30401,3,4,1,"Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia."
30402,3,4,2,"Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de rodovia."
30403,3,4,3,"Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de postes, cabos, dutos e condutos de qualquer natureza."
,3,5,0,"Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário."
30501,3,5,1,"Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário."
,4,0,0,"Serviços de saúde, assistência médica e congêneres."
,4,1,0,Medicina e biomedicina.
40101,4,1,1,Medicina.
40102,4,1,2,Biomedicina.
,4,2,0,"Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres."
40201,4,2,1,Análises clínicas e congêneres.
40202,4,2,2,Patologia e congêneres.
40203,4,2,3,"Eletricidade médica (eletroestimulação de nervos e musculos, cardioversão, etc) e congêneres."
40204,4,2,4,"Radioterapia, quimioterapia e congêneres."
40205,4,2,5,"Ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres."
,4,3,0,"Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
40301,4,3,1,Hospitais e congêneres.
40302,4,3,2,Laboratórios e congêneres.
40303,4,3,3,"Clínicas, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres."
,4,4,0,Instrumentação cirúrgica.
40401,4,4,1,Instrumentação cirúrgica.
,4,5,0,Acupuntura.
40501,4,5,1,Acupuntura.
,4,6,0,"Enfermagem, inclusive serviços auxiliares."
40601,4,6,1,"Enfermagem, inclusive serviços auxiliares."
,4,7,0,Serviços farmacêuticos.
40701,4,7,1,Serviços farmacêuticos.
,4,8,0,"Terapia ocupacional, fisioterapia e fonoaudiologia."
40801,4,8,1,Terapia ocupacional.
40802,4,8,2,Fisioterapia.
40803,4,8,3,Fonoaudiologia.
,4,9,0,"Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental."
40901,4,9,1,"Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental."
,4,10,0,Nutrição.
41001,4,10,1,Nutrição.
,4,11,0,Obstetrícia.
41101,4,11,1,Obstetrícia.
,4,12,0,Odontologia.
41201,4,12,1,Odontologia.
,4,13,0,Ortóptica.
41301,4,13,1,Ortóptica.
,4,14,0,Próteses sob encomenda.
41401,4,14,1,Próteses sob encomenda.
,4,15,0,Psicanálise.
41501,4,15,1,Psicanálise.
,4,16,0,Psicologia.
41601,4,16,1,Psicologia.
,4,17,0,"Casas de repouso e de recuperação, creches, asilos e congêneres."
41701,4,17,1,Casas de repouso e congêneres.
41702,4,17,2,Casas de recuperação e congêneres.
41703,4,17,3,Creches e congêneres.
41704,4,17,4,Asilos e congêneres.
