Código,Nome,Dispositivo Legal,Local,Local do Fornecedor,Característica do Fornecedor,Data de Publicação,Início de Vigência,Fim de Vigência
010101,Bem Móvel Material,Inc. I,Local da entrega ou disponibilização do bem ao destinatário,Estabelecimento do fornecedor,"Presencial, com retirada no estabelecimento",17/11/2025,17/11/2025,-
010102,Bem Móvel Material,Inc. I,Local da entrega ou disponibilização do bem ao destinatário,Local da venda e retirada,"Presencial, com retirada fora do estabelecimento",17/11/2025,17/11/2025,-
010103,Bem Móvel Material,Inc. I,Local da entrega ou disponibilização do bem ao destinatário,Endereço do destinatário fornecido para entrega (assim considerado o o destino final indicado pelo adquirente),"Não presencial, com entrega em endereço fornecido",17/11/2025,17/11/2025,-
010104,Bem Móvel Material,Inc. I,Local da entrega ou disponibilização do bem ao destinatário,Local onde se encontra o bem móvel material (Local da retirada),Licitação promovida pelo poder público de bem apreendido ou abandonado ou leilao judicial,17/11/2025,17/11/2025,-
010105,Bem Móvel Material,Inc. I,Local da entrega ou disponibilização do bem ao destinatário,Local onde se encontra o bem móvel material (Local da retirada),Constatação de irregularidade pela falta de documentação fiscal ou pelo acobertamento por documentação inidôneo,17/11/2025,17/11/2025,-
010201,"Aquisição de veículo automotor terrestre, aquático ou aéreo",Inc. I,Local do domicílio principal do destinatário,Domicílio principal do destinatário,Entrega ou disponibilização,17/11/2025,17/11/2025,-
020101,"Operação com bem imóvel, bem imaterial, inclusive direito, relacionada a bem imóvel",Inc. II,Local onde o imóvel estiver situado,Localidade do imóvel,"Execução de operações com bem imóvel, bem imaterial, inclusive direito, relacionado a bem imóvel",17/11/2025,17/11/2025,-
020201,Serviço prestado fisicamente sobre bem imóvel,Inc. II,Local onde o imóvel estiver situado,Localidade do imóvel,Execução de serviços sobre bem imóvel,17/11/2025,17/11/2025,-
020301,Serviço de administração e intermediação de bem imóvel,Inc. II,Local onde o imóvel estiver situado,Localidade do imóvel,Execução de serviços sobre bem imóvel,17/11/2025,17/11/2025,-
030101,Serviço prestado fisicamente sobre a pessoa ou fruído presencialmente por pessoa física,Inc. III,Local da prestação do serviço,Estabelecimento do fornecedor,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física,17/11/2025,17/11/2025,-
030102,Serviço prestado fisicamente sobre a pessoa ou fruído presencialmente por pessoa física,Inc. III,Local da prestação do serviço,Endereço do adquirente,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física,17/11/2025,17/11/2025,-
