cnae_subclasse,cnae_mascara,cnae_descricao,item_lc116,descricao_atividade_lc
6190699,6190-6/99,Outras atividades de telecomunicações não especificadas anteriormente,01.01,1.01 - Análise e desenvolvimento de sistemas.
6201501,6201-5/01,Desenvolvimento de programas de computador sob encomenda,01.01,1.01 - Análise e desenvolvimento de sistemas.
6202300,6202-3/00,Desenvolvimento e licenciamento de programas de computador customizáveis,01.01,1.01 - Análise e desenvolvimento de sistemas.
6203100,6203-1/00,Desenvolvimento e licenciamento de programas de computador não-customizáveis,01.01,1.01 - Análise e desenvolvimento de sistemas.
6319400,6319-4/00,"Portais, provedores de conteúdo e outros serviços de informação na internet",01.01,1.01 - Análise e desenvolvimento de sistemas.
6202300,6202-3/00,Desenvolvimento e licenciamento de programas de computador customizáveis,01.02,1.02 - Programação.
6203100,6203-1/00,Desenvolvimento e licenciamento de programas de computador não-customizáveis,01.02,1.02 - Programação.
1830003,1830-0/03,Reprodução de software em qualquer suporte,01.03,"1.03 - Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de
 informação, entre outros formatos, e congêneres."
6209100,6209-1/00,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",01.03,"1.03 - Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de
 informação, entre outros formatos, e congêneres."
6311900,6311-9/00,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",01.03,"1.03 - Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de
 informação, entre outros formatos, e congêneres."
6319400,6319-4/00,"Portais, provedores de conteúdo e outros serviços de informação na internet",01.03,"1.03 - Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de
 informação, entre outros formatos, e congêneres."
6201501,6201-5/01,Desenvolvimento de programas de computador sob encomenda,01.04,"1.04 - Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em
 que o programa é executado, incluindo tablets, smartphones e congêneres."
6202300,6202-3/00,Desenvolvimento e licenciamento de programas de computador customizáveis,01.04,"1.04 - Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em
 que o programa é executado, incluindo tablets, smartphones e congêneres."
6203100,6203-1/00,Desenvolvimento e licenciamento de programas de computador não-customizáveis,01.04,"1.04 - Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em
 que o programa é executado, incluindo tablets, smartphones e congêneres."
6202300,6202-3/00,Desenvolvimento e licenciamento de programas de computador customizáveis,01.05,1.05 - Licenciamento ou cessão de direito de uso de programas de computação.
6203100,6203-1/00,Desenvolvimento e licenciamento de programas de computador não-customizáveis,01.05,1.05 - Licenciamento ou cessão de direito de uso de programas de computação.
6311900,6311-9/00,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",01.05,1.05 - Licenciamento ou cessão de direito de uso de programas de computação.
6204000,6204-0/00,Consultoria em tecnologia da informação,01.06,1.06 - Assessoria e consultoria em informática.
1830003,1830-0/03,Reprodução de software em qualquer suporte,01.07,"1.07 - Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados."
6190601,6190-6/01,Provedores de acesso às redes de comunicações,01.07,"1.07 - Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados."
6209100,6209-1/00,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",01.07,"1.07 - Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados."
6190601,6190-6/01,Provedores de acesso às redes de comunicações,01.08,"1.08 - Planejamento, confecção, manutenção e atualização de páginas eletrônicas."
6201502,6201-5/02,Web design,01.08,"1.08 - Planejamento, confecção, manutenção e atualização de páginas eletrônicas."
6311900,6311-9/00,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",01.08,"1.08 - Planejamento, confecção, manutenção e atualização de páginas eletrônicas."
6319400,6319-4/00,"Portais, provedores de conteúdo e outros serviços de informação na internet",01.08,"1.08 - Planejamento, confecção, manutenção e atualização de páginas eletrônicas."
5913800,5913-8/00,"Distribuição cinematográfica, de vídeo e de programas de televisão",01.09,"1.09 - Disponibilização, sem cessão definitiva, de conteúdo de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei federal nº
 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
6110899,6110-8/99,Serviços de telecomunicações por fio não especificados anteriormente,01.09,"1.09 - Disponibilização, sem cessão definitiva, de conteúdo de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de
 livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei federal nº 12.485, de 12 de setembro de 2011, sujeita ao ICMS)."
