item_lc116,descricao_item,nbs,descricao_nbs,ps_onerosa,adq_exterior,indop,local_incidencia_ibs,cclasstrib,nome_cclasstrib
01.01,Análise E Desenvolvimento De Sistemas.,1.1502.10.00,"Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) ",S,N,100301,Domicílio principal do adquirente,000001,Situações tributadas integralmente pelo IBS e CBS.
01.01,Análise E Desenvolvimento De Sistemas.,1.1502.20.00,"Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) ",S,N,100301,Domicílio principal do adquirente,000001,Situações tributadas integralmente pelo IBS e CBS.
01.01,Análise E Desenvolvimento De Sistemas.,1.1502.40.00,Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados ,S,N,100301,Domicílio principal do adquirente,000001,Situações tributadas integralmente pelo IBS e CBS.
01.01,Análise E Desenvolvimento De Sistemas.,1.1502.50.00,Serviços de integração de sistemas em tecnologia da informação (TI) ,S,N,100301,Domicílio principal do adquirente,000001,Situações tributadas integralmente pelo IBS e CBS.
01.01,Análise E Desenvolvimento De Sistemas.,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,S,N,100301,Domicílio principal do adquirente,000001,Situações tributadas integralmente pelo IBS e CBS.
01.01,Análise E Desenvolvimento De Sistemas.,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,S,N,100301,Domicílio principal do adquirente,200043,Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI)
01.01,Análise E Desenvolvimento De Sistemas.,1.1502.90.00,Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores,S,N,100301,Domicílio principal do adquirente,200044,Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI)
01.01,Análise E Desenvolvimento De Sistemas.,1.1503.00.00,Serviços de projeto e desenvolvimento de redes em tecnologia da informação (TI) ,S,N,100301,Domicílio principal do adquirente,000001,Situações tributadas integralmente pelo IBS e CBS.
01.01,Análise E Desenvolvimento De Sistemas.,1.1504.00.00,Serviços de projeto e desenvolvimento de topografias de circuitos integrados ,S,N,100301,Domicílio principal do adquirente,000001,Situações tributadas integralmente pelo IBS e CBS.
01.01,Análise E Desenvolvimento De Sistemas.,1.1505.00.00,Serviços de projeto de circuitos integrados ,S,N,100301,Domicílio principal do adquirente,000001,Situações tributadas integralmente pelo IBS e CBS.
